path,size,sha256,decision,reason
VALIDACION_V0_35.md,2485,6755d1fec65ccde9dfc7456981ede33a88de0995f1c1d6b65319520be2420406,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_36.md,2050,6ec4a5c5dfde2df2402d2638b46a9639da5e68902f7c89f532a3e9c1dd8af672,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_37.md,2553,bcb95a279230149930b535e3df1727055a45b4fc88fc06431fdef97d8021c6e6,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_43.md,2477,b73a9cd59b2f9e2486e5060b0d2f1414dcb32981f64ae8f4dc099db021f9c381,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_45.md,2597,14f6925a388b226cc9acd8806f9c82eef41514ee18be047242050ad9531b28df,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_45_1.md,1681,1ffc1d6afc24b75516c88eddda3126bb2eebe69b7feb72fc21081d9c1e3d7c1c,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_45_2.md,1747,609f5fdc3102eb8576d00827aec06261c7792b68eef512f4510eb6ad70512cb3,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_45_3.md,2303,90ed6446c56ac86660cf88ed7c4041e5bb75f39501b298604b9cce02822a07f4,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_45_4.md,2359,843ec089eb1c1e904d0b18da42a7be6134fb3641db0436484bb6463a0c13d81b,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_45_5.md,1611,2b64d1f5604eb071ee52e36d7abf6cc0b06c830a68cc010065176aa2cb348f46,versionar_documentacion,Documentación vigente o trazabilidad histórica
alembic.ini,586,37277b5e58df001c4ae979b3c68944fb6eefae0b7192be034c9de75f56aba770,versionar,"Código, configuración, documentación o recurso del producto"
app/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,versionar,"Código, configuración, documentación o recurso del producto"
app/access_control.py,4809,7450a0ce7e4e0c2e0770accee2650491c49afbf63def111a9a722bf4e7fab1fd,versionar,"Código, configuración, documentación o recurso del producto"
app/accounting.py,1475,ba4b10664408534860c277d890ca91bb8ca7eed0757e9d4d0a8711214c63a541,versionar,"Código, configuración, documentación o recurso del producto"
app/analytics.py,8754,328ea36f56f958a731649da91564ddd9a7a810bb08965de0ecadb62230b70d5f,versionar,"Código, configuración, documentación o recurso del producto"
app/architecture.py,7761,d3edc109097fa17669819ed161144adf00d5436dbcba08af323d87b1afaf9998,versionar,"Código, configuración, documentación o recurso del producto"
app/automations.py,11354,9b53f7828f84203a511ec9ad240888142421ad0244440417a0197e50f5bc3671,versionar,"Código, configuración, documentación o recurso del producto"
app/calculations.py,10569,2723c388f75554a312416791cac32aca63e3169175050bc2d3c8cf6449d6dac4,versionar,"Código, configuración, documentación o recurso del producto"
app/climate_disclosure.py,15857,38874dc605953939752454c3efdd377ef32d79556e9be1f3ba7750bad73da311,versionar,"Código, configuración, documentación o recurso del producto"
app/climate_risk.py,7896,19add62dac42317ca02d33ca464fc4d58a36543685e86da28ad7e1cc76831b12,versionar,"Código, configuración, documentación o recurso del producto"
app/colombia_library.py,15225,3323903a014f73c93c3cac883741f203f637ab96d72306395e4fe5aa59bccd14,versionar,"Código, configuración, documentación o recurso del producto"
app/colombia_library_web.py,5347,cd0fe961bd38daddec6ed4992f23fa13b419aa899a6c96d56b42f638295c5c76,versionar,"Código, configuración, documentación o recurso del producto"
app/config.py,8170,a66793f02f858fb589a6201e7b4188cdc04304c636784173d2e0b2687ee15809,versionar,"Código, configuración, documentación o recurso del producto"
app/consolidation.py,7760,f7ece6c274b99d33022aaa0ad05f2798bb93465c9bb3f3ca60b6db5b148fb5e4,versionar,"Código, configuración, documentación o recurso del producto"
app/customer_success.py,12618,c9e540edc1daceffa6e44b13e7747c01077b41439fc65cb92a11bf9951837196,versionar,"Código, configuración, documentación o recurso del producto"
app/data_quality.py,27155,cb815203fee681a6a481a64c6166d3bdf89085e39a9150594585b212ae98b2b6,versionar,"Código, configuración, documentación o recurso del producto"
app/data_quality_web.py,6282,1086242b51d89227c96311c3a1c9ff56663cd22ee5c2174ba1985d75fd146555,versionar,"Código, configuración, documentación o recurso del producto"
app/database.py,153492,83a0a3784b57669b1d2f889229dd96e6fd615c35b63f77d635df93b489eb1cdc,versionar,"Código, configuración, documentación o recurso del producto"
app/database_transfer.py,5102,a8318bd7acac8adaac746511abe2bad3c4ba3f95fabb7d861a08e93a87616dcb,versionar,"Código, configuración, documentación o recurso del producto"
app/db/__init__.py,137,0bc313bbb73244148807cda791c1f2e17658e49c5b44d4dd50d3bbd4921ca54f,versionar,"Código, configuración, documentación o recurso del producto"
app/db/base.py,773,9ee8c6b9838e0379929195b1bf7384e64bce7e16de4532e08058ff064901a440,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/__init__.py,5659,68f1c9c1d58a0f424bc9a8ca50465cdeffbd4a06e5477a61e5d0c604b5b6403e,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/climate.py,20868,f1e5b43198a1f23d63560a3cb3e1b4382791eb706e4e763f7e7fd6e6d16944a5,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/commercial.py,26541,ee5bff858dcd2ab1360bde27ecd59afa8d068f0b110d97d6e182aa860968f54c,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/core.py,6334,ae7e4ab2e73dce2bdec1134ec126ce2097a28c04d7b757a7db516c93430623ad,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/governance.py,11526,d43a6035576762d87eeafb007c5680e920de8e2c89203cf98454fe49c00fe340,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/inventory.py,24107,241bb8feb34de285632c89d41db39b5b60f350826f09bb0edac069238317972d,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/methodology.py,15463,a5072eb689d1ef401f62e4a17927245d53859c654e485d8edc724b5784faf979,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/operations.py,15225,cf9d3b7a7f86fd59a77d6b152af848c096e363d19a49af8d7daed3fafd2b391d,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/pilot.py,19809,b86ecf47feb6ae26b1d0156cc04100771df99c4b9cd3bad7e3032bd812c465a3,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/product_intelligence.py,9299,96a7252620c5d12c7787f525bf93607a49f7a86236fdc02fd8a3bc2c0ed64b97,versionar,"Código, configuración, documentación o recurso del producto"
app/db/models/supply_chain.py,5736,4b5614c8d72ea7da1e94a633be39e0220f1fe76faee79833cb8e4f6f37ec6a53,versionar,"Código, configuración, documentación o recurso del producto"
app/demo_environment.py,42225,1c4a134f43f696bb6a44711fdc09bacbb6f17afb03ded127694d128f10b275a6,versionar,"Código, configuración, documentación o recurso del producto"
app/demo_web.py,3969,2d210e15d66c6929028e304f24c817e338bd12a4aaa04d88c6bac651986df356,versionar,"Código, configuración, documentación o recurso del producto"
app/deployment_readiness.py,9856,05ef959537d538e8e98e59bc29e36e7a4c898e2cd3c6fa2644f8f93099c3bc82,versionar,"Código, configuración, documentación o recurso del producto"
app/impact_intelligence.py,7373,a761043178be0dbaf4e28826265f3b164f8ee21846c0a51d9b14bc848934d4a5,versionar,"Código, configuración, documentación o recurso del producto"
app/information_web.py,28292,aa728ef75a0b8a65fad523f8468b250cc1cc25b0684dff512000ad6a06d302d6,versionar,"Código, configuración, documentación o recurso del producto"
app/inventories_web.py,27054,32265c313a719a86b80f6f6dc6c7218442b61821409d66775489d892fc9d0582,versionar,"Código, configuración, documentación o recurso del producto"
app/inventory_starters.py,8250,1ac595cc4db5b490c550ab903feaf67aa7a1963eb78bf2c58424bb188f006509,versionar,"Código, configuración, documentación o recurso del producto"
app/main.py,254477,b0d8822243fb7ce4c305656e57d80954b6de1349fdbede240d95caea1eeee6d2,versionar,"Código, configuración, documentación o recurso del producto"
app/methodology_closure.py,11739,16e1ac12045b1a33ea4c7c362ea180066b72381a2f5ac2d284640d1ce9b0e993,versionar,"Código, configuración, documentación o recurso del producto"
app/methodology_closure_web.py,9513,036ccf4c686753a14fd3424b26df7b08a248fa93dd34a56b89594592c700d634,versionar,"Código, configuración, documentación o recurso del producto"
app/methodology_core.py,36367,80cc0504023272d47f6af14a590da1b727469ce920a8fea9e591731ac5749137,versionar,"Código, configuración, documentación o recurso del producto"
app/methodology_web.py,6311,87328935ca2216a2cbf5a743b1c32458b99708fdf9291816018f7b98d7250356,versionar,"Código, configuración, documentación o recurso del producto"
app/notifications.py,5331,0c429d3a539f8a62a01c5896a64b9717da60536fdafafac56e7be58fd63eafeb,versionar,"Código, configuración, documentación o recurso del producto"
app/observability.py,4835,3e7e088eab514eda933e249af0b1df87727e10fd3b8679182e2751795294ea5b,versionar,"Código, configuración, documentación o recurso del producto"
app/onboarding_experience.py,5076,944424f7eea11c4e13966b5c99c723580a06e48913b17553bda5479619c870bc,versionar,"Código, configuración, documentación o recurso del producto"
app/operational_imports.py,47180,5daccd8e9920875a6878907af71ecbd2ee70d5923292ae14dbee58f8cb3e0d5b,versionar,"Código, configuración, documentación o recurso del producto"
app/operational_imports_web.py,17902,015cd4c18086d40f6dc23186dfb4e8239b33fb18c082a54f51f5203e919f30a0,versionar,"Código, configuración, documentación o recurso del producto"
app/operations.py,19492,a47bb2d4d17bb460b91234c3ffa4cce33d59e854bb6b697683fa26514ad779bd,versionar,"Código, configuración, documentación o recurso del producto"
app/operations_web.py,18699,93f8ce661168efbba09706b689978132d949c6b0796c68dd49cceaf5c2c83306,versionar,"Código, configuración, documentación o recurso del producto"
app/organizations_web.py,4978,4db8f3dd759a20e4ff21d79973f6864e4a1615b00afe2fe92d0492f4dd3e9301,versionar,"Código, configuración, documentación o recurso del producto"
app/period_close.py,17512,7e9628618ae0073720330c2c1d13c657bcfb344ffd800eaefc8a45b0aa706361,versionar,"Código, configuración, documentación o recurso del producto"
app/period_close_web.py,4576,2f5857cc7acc26317a6c20692eac7bed1deed780483bc86a978bb3687876b749,versionar,"Código, configuración, documentación o recurso del producto"
app/pilot_execution.py,44914,d83419f70e6ce16d3da9a60824f8e012f80dfc27d51cef84f2167d7065f6284b,versionar,"Código, configuración, documentación o recurso del producto"
app/pilot_execution_web.py,14352,64adc6db75083dd72b38a7b4ca055d72fe78aa26260b3b96b33212ba880304bf,versionar,"Código, configuración, documentación o recurso del producto"
app/pilot_web.py,3694,a5222f123f11185d1ccd9c54b25390bf6a0ba46443e589e98fa72c64509bb40e,versionar,"Código, configuración, documentación o recurso del producto"
app/product_experience.py,12852,c5c9dd8186bc83b4b077378e539f6b2c5df12078ab3a67015b6d6eafbfd292f7,versionar,"Código, configuración, documentación o recurso del producto"
app/product_intelligence_web.py,18678,6c2feef6e796926d1a9471bd0608cfd6f56feebd2226b052a43255114b5919b0,versionar,"Código, configuración, documentación o recurso del producto"
app/product_registry.py,13979,6490bcc2779dba77925b5cb7e50938675780f8172c1114b150518f5560d11380,versionar,"Código, configuración, documentación o recurso del producto"
app/release_certification.py,16254,be049381441d4bfdebd10cf9ee1b266668d7632b90b7ee33108a149b4b473438,versionar,"Código, configuración, documentación o recurso del producto"
app/reporting.py,32342,df435d365b01f22c0e62cac1fa749f3c093ff9c8714504672b08e5a3f8e0be6c,versionar,"Código, configuración, documentación o recurso del producto"
app/reports_web.py,3939,467bcff00e42f9dc9fac8a915b3be19c9c5c39d749e09b2930e87ecadef8bfbf,versionar,"Código, configuración, documentación o recurso del producto"
app/repositories/__init__.py,230,6b38d239b9e5f7cbac92ec58eabad7d011878ee325c510caefec14686c508d94,versionar,"Código, configuración, documentación o recurso del producto"
app/repositories/inventories.py,806,0af07c3846830cd474d7e062006d06dca534506fbbfb3452b5e3d407704352ea,versionar,"Código, configuración, documentación o recurso del producto"
app/repositories/operations.py,1187,16e3cdeb49498e5986f3c56b79223b18ba0c0725f305ce9fda9aab03e3d17a12,versionar,"Código, configuración, documentación o recurso del producto"
app/repositories/organizations.py,1561,313f749d230644b522ea014f9f2be6eb2ca105bae8000111dc5a114fa86453a7,versionar,"Código, configuración, documentación o recurso del producto"
app/repositories/product_intelligence.py,2756,5044babe539d4cb1f509cd22e1691422cf91290f7c453753c5763d49b3dbe0e7,versionar,"Código, configuración, documentación o recurso del producto"
app/repositories/reports.py,785,94a8491951e45b193ef7e363b5defc625675eae8c469ee27891902a7f376fa3a,versionar,"Código, configuración, documentación o recurso del producto"
app/review_web.py,17886,f8942827b61ce92538d1759fb1b4c9c13fc13dc2367487d24ccdb19a62a83df0,versionar,"Código, configuración, documentación o recurso del producto"
app/scenarios.py,4918,6268dcbb0b2548228bea0bbdf03a5fc189b2cfc51376b03000fc1b9b233db231,versionar,"Código, configuración, documentación o recurso del producto"
app/sector_library.py,46012,82a6c7c1b923b59896cb7437600a8e134be42c386a7016aaacb12c30674a2a98,versionar,"Código, configuración, documentación o recurso del producto"
app/security.py,17885,9aa423752b6ad1e553386c95c77840f6437754981e91a564a7def99251074704,versionar,"Código, configuración, documentación o recurso del producto"
app/services/__init__.py,55,0d03fea7362931ab4b857edce80dbe6563ff3716239c5d88de4219a12de0dfd7,versionar,"Código, configuración, documentación o recurso del producto"
app/services/inventories.py,1918,be50f67fd7a9ba6f8e90736fe8178685c14f6c01ac8184e38cde53a58c6efd20,versionar,"Código, configuración, documentación o recurso del producto"
app/services/operations.py,998,f43264356b6feea4c5dd455d1460b8d2c61187d705dfe99481944aa38d40ca49,versionar,"Código, configuración, documentación o recurso del producto"
app/services/organizations.py,3289,fb650e4aba8c329a1345e14dbe885ba9fe6dd765e730e3ec08d2cd62086b2c06,versionar,"Código, configuración, documentación o recurso del producto"
app/services/product_intelligence.py,39752,4c6a37b9f7728ca1d02454291b09fa9ff6cb10b6d471fd55c6901c19a77ef954,versionar,"Código, configuración, documentación o recurso del producto"
app/services/reports.py,1212,4ce93f0b70f553dad7f108b91f35a47fd57f14b11a9ddd8bdda41f5e23f84ac7,versionar,"Código, configuración, documentación o recurso del producto"
app/static/css/app.css,201672,8bea39c2feae57931b4595146fa396a9a9ce88ebe4b9e79272c21989486ef566,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/brand-manifest.json,531,bc0e3336244b9a67c84d8217afe888cc7d38672ce35976dc2dec7e4ae2bff330,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/brand-primary.svg,1485,3bc5a29975a3b49076d7c754b64732f91a5e501f252522a5298d708541a6ebba,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/brand-reversed.svg,1407,3499c96d39d1bc584aa32d100b5cee899fe2c47d1d6e2ab4de1a895f6eb944a6,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/brand-symbol.svg,805,2088d54af227ed0a2844f9c82fc260330401065c5a703e922dc1644b4ee0ad80,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/favicon.svg,805,2088d54af227ed0a2844f9c82fc260330401065c5a703e922dc1644b4ee0ad80,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/logo-white.svg,1407,3499c96d39d1bc584aa32d100b5cee899fe2c47d1d6e2ab4de1a895f6eb944a6,versionar,"Código, configuración, documentación o recurso del producto"
app/static/img/logo.svg,1485,3bc5a29975a3b49076d7c754b64732f91a5e501f252522a5298d708541a6ebba,versionar,"Código, configuración, documentación o recurso del producto"
app/static/js/app.js,11799,a7d58f894d52c7dfb6caeccbf92cb86d5cc7692ad04856a2e82e2c0c692f865e,versionar,"Código, configuración, documentación o recurso del producto"
app/storage.py,5544,4b6d95333e8da360b6ee2f3536def77b61ffd82a36204708f860c10ad5fd2fa9,versionar,"Código, configuración, documentación o recurso del producto"
app/supply_chain.py,6398,3371950185d6e425de872ca806c3be7bbac8a07a9366a8b3a6f8a2d579790186,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/analysis.html,6719,d153a276cde778e3206420d23f0c555c5286c12e2c66244d8dd967159a87390f,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/automations.html,5446,ca47c7d9719fb3fd3847a610d90df1e20638b14313911bfa20e8768fc1c10567,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/base.html,5387,46820592275adf66fddc9414b86597a90680fa2bf7879805417fc8f76b9312bb,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/calculations.html,3558,7b0b0701314325eb7accee14eb82fe12898fa3b48d938c061ec2a7da0897b667,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/climate_disclosure.html,21029,a305ada3a207cf3f1588a23f029508c1336a951df5660fcdbbae40ef1ff439ec,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/climate_risk.html,22298,9dec3f818f55585422ea20fc916c7886780fae6cd5715c77830b5921a48d3260,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/colombia_library.html,9379,a619a0abb7bdabd0e8ad0f996394d44a6808a86834c7533de0d1edba768c7013,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/commercial.html,6302,b854fe0a1e01762d4329d96051ebd876ae7cc3e471e0d8f9af871e4370aef107,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/commercial_operations.html,16576,188620ccd2cd93f5d59d1c1f1f674f27ea2bcb7c0af429551c8230df3e213d9f,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/compliance.html,3179,0af1c7c386b51ae9d89b4655e3f966dcbfeae35bae52c0f526de271538e43785,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/consolidation.html,13263,c49a4a8addf25361f26cfad2e42b0b58cb44c7fd7ebdcd65a8a5cc44f437130d,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/control.html,12931,f2bf3e4ca0681a5f5a1e36b989b9198e360f1c0e2093ba9a1d9ae3bf1ddc11d6,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/customer_success.html,15996,227a0eb623bab35cfd49170bf778576ce511f5f43e28c34d50fe37c121305c1f,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/dashboard.html,6631,02b5da6e86b839f734dc4c1006c06874691e7b9aa6cd42a190968d4e8da3fd08,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/data_quality.html,9595,3e8804ed39004b38667375838aa368daeba3c67acaf6abd6edcdd6761c8e648d,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/demo_environment.html,4669,de9bb14c564838548d07493c6a3cfe211f0cc6aaae0385c91f5374f676e4a576,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/document_center.html,4974,209d2f198cec33c95c937fa341fba556d75a3e58d6c9359752ffc00b26e227ac,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/error.html,284,d41cc266fc2b0985e096e672d76c0a290fdec6e2da83e26e25ac23fab1536e57,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/executive_portfolio.html,2975,29b756a7bc5f25b8ef23c37cdd249c7e4b82d02b92c53f6b9be233677bce5c47,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/greenatics_pilot.html,6779,cbd4c0631676cc0ab2311515cdb99ac5bac32e7120157997e17c17ba0cfa2e4e,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/greenatics_pilot_execution.html,17032,a7e8bf57c1e5037843f5ad6e534483348c4dcb3b4396a9dd6ef3ad184b714e7f,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/impact_intelligence.html,8671,33ad5319c5efaa42cc8ef7dc4baea75d9854307449504a135fc31df19294ce1b,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/import_data.html,2818,45ae42d81d80998cc4a95887269c03c7f30635bc01750b4f04fe812b4204add8,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/information.html,12108,adb18b3d0176b507cc4a5f78367b73b9c3d94e90d520f6e48eb20c085aaba3c6,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/integrations.html,4893,13e5d98aa40a27c941d68af50561775fa123303401267dbee8dacff11b1a4164,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/inventories.html,2053,ba42e288b2fc017669e90ad39818974afc13c8ce1f23efe79029491daa7100c4,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/inventory.html,5144,1440642a4ce0e92a35139df2fb457fb6cb48173123388428b0d06fbc21e5b33c,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/inventory_form.html,11434,50a45f8d054ed30127b8e806112ff15bec0037c20226f72686de30a3ec67e67a,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/inventory_journey.html,3139,1838d352dc8326f102f64b1ed542f950416c40511b91cfad4986e54e046560f6,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/login.html,3329,60afc08557ec918a4e6000f8bff9fcd91f719cf40971c260a813a0d1b566517b,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/methodology.html,5772,79029943f01d2e3f5706cd0a745e8660c647b82990448002080f558c275e68b0,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/methodology_closure.html,11999,8f6256a1563d3439358bde718effc44bfe2648508f03e94b75ab0476652a563e,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/methodology_core.html,10742,179d4f8fe8f5272f6727c29fe0c8cba9e460f1b3159819db8316c220bb1046a3,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/methodology_governance.html,3878,48452c28160e9cbd9ea74dc9b365260f6ba3d39ead43b3752b41ba25ebf6618f,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/modules.html,2119,3a2bf38e5f0d86d53ad3cc0ff119eee19bcbf0f8d7094fc4db258c5b0ef1d90e,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/notifications.html,3111,f0edc16af391786550d08b7b4fadc4858cdbe0413d593a6e7d582f94e68c2fd0,versionar,"Código, configuración, documentación o recurso del producto"
app/templates/onboarding.html,5576,9c8d98da2392db5827bb116b7b60aeffb066a5fe257d0d3b8a0a62d55d6aa5f8,versionar,"Código, configuración, documentación o recurso del producto"
